Date,Mkt Al,Alliance,Op Al,Orig,Dest,Miles,Flight,Stops,Equip,Seats,Dep Term,Arr Term,Dep Time,Arr Time,Block Mins,Arr Flag,Orig WAC,Dest WAC
"Sep 30, 2024",AA,oneworld,AA,CLT,SAN,"2,077",2032,0,321,190,,2 ,0714,0902,288,0,36,91
"Sep 30, 2024",AA,oneworld,AA,CLT,SAN,"2,077",1954,0,321,190,,2 ,0855,1043,288,0,36,91
"Sep 30, 2024",AA,oneworld,AA,CLT,SAN,"2,077",2059,0,321,190,,2 ,1131,1336,305,0,36,91
"Sep 30, 2024",AA,oneworld,AA,CLT,SAN,"2,077",1740,0,321,190,,2 ,1644,1843,299,0,36,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",2991,0,32Q,196,,2 ,0720,0824,184,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",2034,0,321,190,,2 ,0920,1020,180,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",1055,0,321,190,,2 ,1100,1201,181,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",456,0,321,190,,2 ,1321,1421,180,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",2747,0,321,190,,2 ,1440,1543,183,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",1948,0,321,190,,2 ,1744,1844,180,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",1634,0,321,190,,2 ,1858,2002,184,0,74,91
"Sep 30, 2024",AA,oneworld,AA,DFW,SAN,"1,171",1399,0,321,190,,2 ,2044,2145,181,0,74,91
"Sep 30, 2024",AA,oneworld,AA,MIA,SAN,"2,267",2578,0,32Q,196,,2 ,1932,2157,325,0,33,91
"Sep 30, 2024",AA,oneworld,AA,ORD,SAN,"1,723",2343,0,738,172,3 ,2 ,0819,1042,263,0,41,91
"Sep 30, 2024",AA,oneworld,AA,ORD,SAN,"1,723",1543,0,321,190,3 ,2 ,1702,1916,254,0,41,91
"Sep 30, 2024",AA,oneworld,AA,ORD,SAN,"1,723",1263,0,321,190,3 ,2 ,1849,2125,276,0,41,91
"Sep 30, 2024",AA,oneworld,AA,PHL,SAN,"2,369",690,0,32Q,196,,2 ,0850,1128,338,0,23,91
"Sep 30, 2024",AA,oneworld,AA,PHL,SAN,"2,369",1489,0,32Q,196,,2 ,1603,1835,332,0,23,91
"Sep 30, 2024",AA,oneworld,AA,PHL,SAN,"2,369",2051,0,32Q,196,,2 ,1835,2108,333,0,23,91
"Sep 30, 2024",AA,oneworld,AA,PHX,SAN,304,2057,0,32Q,196,4 ,2 ,0742,0857,75,0,81,91
"Sep 30, 2024",AA,oneworld,AA,PHX,SAN,304,2757,0,320,150,4 ,2 ,1025,1150,85,0,81,91
"Sep 30, 2024",AA,oneworld,AA,PHX,SAN,304,1218,0,7M8,172,4 ,2 ,1407,1520,73,0,81,91
"Sep 30, 2024",AA,oneworld,AA,PHX,SAN,304,466,0,321,190,4 ,2 ,1707,1819,72,0,81,91
"Sep 30, 2024",AA,oneworld,AA,PHX,SAN,304,480,0,738,172,4 ,2 ,2041,2153,72,0,81,91
"Sep 30, 2024",AC,Star Alliance,AC,YUL,SAN,"2,459",527,0,7M8,169,,2 ,1955,2246,351,0,941,91
"Sep 30, 2024",AC,Star Alliance,QK,YVR,SAN,"1,177",8764,0,CR9,76,M ,2 ,1000,1256,176,0,906,91
"Sep 30, 2024",AC,Star Alliance,QK,YVR,SAN,"1,177",8766,0,CR9,76,M ,2 ,1610,1906,176,0,906,91
"Sep 30, 2024",AC,Star Alliance,AC,YYZ,SAN,"2,157",1093,0,223,137,1 ,2 ,0800,1015,315,0,936,91
"Sep 30, 2024",AS,oneworld,AS,ATL,SAN,"1,891",355,0,73H,159,N ,2 ,1745,1927,282,0,34,91
"Sep 30, 2024",AS,oneworld,AS,AUS,SAN,"1,164",343,0,73H,159,,2 ,0715,0820,185,0,74,91
"Sep 30, 2024",AS,oneworld,AS,AUS,SAN,"1,164",531,0,73J,178,,2 ,1520,1622,182,0,74,91
"Sep 30, 2024",AS,oneworld,OO,BOI,SAN,749,3454,0,E75,76,,2 ,0900,1017,137,0,83,91
"Sep 30, 2024",AS,oneworld,OO,BOI,SAN,749,3476,0,E75,76,,2 ,1933,2049,136,0,83,91
"Sep 30, 2024",AS,oneworld,AS,BOS,SAN,"2,588",389,0,7M9,178,B ,2 ,1636,1949,373,0,13,91
"Sep 30, 2024",AS,oneworld,QX,EUG,SAN,850,2038,0,E75,76,,2 ,1443,1705,142,0,92,91
"Sep 30, 2024",AS,oneworld,AS,EWR,SAN,"2,425",297,0,7M9,178,B ,2 ,1929,2227,358,0,21,91
"Sep 30, 2024",AS,oneworld,OO,FAT,SAN,314,3402,0,E75,76,,2 ,0600,0719,79,0,91,91
"Sep 30, 2024",AS,oneworld,OO,FAT,SAN,314,3331,0,E75,76,,2 ,1200,1319,79,0,91,91
"Sep 30, 2024",AS,oneworld,OO,FAT,SAN,314,3327,0,E75,76,,2 ,1925,2043,78,0,91,91
"Sep 30, 2024",AS,oneworld,AS,GEG,SAN,"1,027",167,0,7M9,178,,2 ,0700,0946,166,0,93,91
"Sep 30, 2024",AS,oneworld,AS,HNL,SAN,"2,614",892,0,7M9,178,2 ,2 ,1104,1939,335,0,2,91
"Sep 30, 2024",AS,oneworld,AS,HNL,SAN,"2,614",898,0,73J,178,2 ,2 ,2246,0720,334,1,2,91
"Sep 30, 2024",AS,oneworld,AS,IAD,SAN,"2,253",507,0,7M9,178,,2 ,1616,1842,326,0,38,91
"Sep 30, 2024",AS,oneworld,AS,JFK,SAN,"2,446",35,0,7M9,178,7 ,2 ,0900,1155,355,0,22,91
"Sep 30, 2024",AS,oneworld,AS,JFK,SAN,"2,446",25,0,73J,178,7 ,2 ,1650,1955,365,0,22,91
"Sep 30, 2024",AS,oneworld,AS,KOA,SAN,"2,556",874,0,73J,178,,2 ,2257,0720,323,1,2,91
"Sep 30, 2024",AS,oneworld,AS,MCO,SAN,"2,148",397,0,73J,178,B ,2 ,1736,1941,305,0,33,91
"Sep 30, 2024",AS,oneworld,OO,MRY,SAN,376,3474,0,E75,76,,2 ,0600,0727,87,0,91,91
"Sep 30, 2024",AS,oneworld,OO,MRY,SAN,376,3346,0,E75,76,,2 ,1448,1616,88,0,91,91
"Sep 30, 2024",AS,oneworld,AS,OGG,SAN,"2,541",806,0,7M9,178,,2 ,1027,1845,318,0,2,91
"Sep 30, 2024",AS,oneworld,QX,PAE,SAN,"1,080",2154,0,E75,76,,2 ,0810,1057,167,0,93,91
"Sep 30, 2024",AS,oneworld,AS,PDX,SAN,933,1074,0,7M9,178,,2 ,0700,0932,152,0,92,91
"Sep 30, 2024",AS,oneworld,AS,PDX,SAN,933,1296,0,73H,159,,2 ,1030,1302,152,0,92,91
"Sep 30, 2024",AS,oneworld,AS,PDX,SAN,933,419,0,73J,178,,2 ,1442,1714,152,0,92,91
"Sep 30, 2024",AS,oneworld,AS,PDX,SAN,933,1162,0,73H,159,,2 ,1830,2100,150,0,92,91
