Date,Mkt Al,Alliance,Op Al,Orig,Dest,Miles,Flight,Stops,Equip,Seats,Dep Term,Arr Term,Dep Time,Arr Time,Block Mins,Arr Flag,Orig WAC,Dest WAC
"Nov 1, 2024",AA,oneworld,AA,SAN,CLT,"2,077",598,0,321,190,2 ,,0645,1427,282,0,91,36
"Nov 1, 2024",AA,oneworld,AA,SAN,CLT,"2,077",1645,0,321,190,2 ,,1204,1942,278,0,91,36
"Nov 1, 2024",AA,oneworld,AA,SAN,CLT,"2,077",2512,0,321,190,2 ,,2125,0503,278,1,91,36
"Nov 1, 2024",AA,oneworld,AA,SAN,CLT,"2,077",2056,0,321,190,2 ,,2210,0548,278,1,91,36
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",2090,0,321,190,2 ,,0615,1126,191,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",1272,0,321,190,2 ,,0709,1214,185,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",2535,0,32Q,196,2 ,,0754,1300,186,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",767,0,321,190,2 ,,1010,1516,186,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",2034,0,321,190,2 ,,1103,1607,184,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",772,0,32Q,196,2 ,,1243,1747,184,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",1369,0,321,190,2 ,,1433,1938,185,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,DFW,"1,171",2073,0,321,190,2 ,,1525,2029,184,0,91,74
"Nov 1, 2024",AA,oneworld,AA,SAN,MIA,"2,267",2968,0,32Q,196,2 ,,2240,0630,290,1,91,33
"Nov 1, 2024",AA,oneworld,AA,SAN,ORD,"1,723",518,0,321,190,2 ,3 ,0615,1231,256,0,91,41
"Nov 1, 2024",AA,oneworld,AA,SAN,ORD,"1,723",2343,0,738,172,2 ,3 ,1138,1752,254,0,91,41
"Nov 1, 2024",AA,oneworld,AA,SAN,ORD,"1,723",3107,0,738,172,2 ,3 ,2244,0500,256,1,91,41
"Nov 1, 2024",AA,oneworld,AA,SAN,PHL,"2,369",1514,0,32Q,196,2 ,,0912,1727,315,0,91,23
"Nov 1, 2024",AA,oneworld,AA,SAN,PHL,"2,369",2051,0,32Q,196,2 ,,2230,0645,315,1,91,23
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,625,0,738,172,2 ,4 ,0627,0757,90,0,91,81
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,1209,0,319,128,2 ,4 ,0853,1022,89,0,91,81
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,3110,0,32Q,196,2 ,4 ,1015,1141,86,0,91,81
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,456,0,7M8,172,2 ,4 ,1240,1406,86,0,91,81
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,1950,0,7M8,172,2 ,4 ,1620,1745,85,0,91,81
"Nov 1, 2024",AA,oneworld,AA,SAN,PHX,304,2031,0,321,190,2 ,4 ,1939,2104,85,0,91,81
"Nov 1, 2024",AC,Star Alliance,QK,SAN,YVR,"1,177",8765,0,CR9,76,2 ,M ,1145,1501,196,0,91,906
"Nov 1, 2024",AC,Star Alliance,QK,SAN,YVR,"1,177",8767,0,CR9,76,2 ,M ,1930,2246,196,0,91,906
"Nov 1, 2024",AC,Star Alliance,AC,SAN,YYZ,"2,157",1094,0,223,137,2 ,1 ,1255,2045,290,0,91,936
"Nov 1, 2024",AS,oneworld,AS,SAN,ATL,"1,891",354,0,7M9,178,2 ,N ,0850,1600,250,0,91,34
"Nov 1, 2024",AS,oneworld,AS,SAN,AUS,"1,164",530,0,7M9,178,2 ,,0850,1345,175,0,91,74
"Nov 1, 2024",AS,oneworld,AS,SAN,AUS,"1,164",342,0,73H,159,2 ,,1832,2329,177,0,91,74
"Nov 1, 2024",AS,oneworld,OO,SAN,BOI,749,3464,0,E75,76,2 ,,0900,1222,142,0,91,83
"Nov 1, 2024",AS,oneworld,OO,SAN,BOI,749,3463,0,E75,76,2 ,,1745,2100,135,0,91,83
"Nov 1, 2024",AS,oneworld,AS,SAN,BOS,"2,588",390,0,73H,159,2 ,B ,0940,1814,334,0,91,13
"Nov 1, 2024",AS,oneworld,OO,SAN,EUG,850,3319,0,E75,76,2 ,,1501,1732,151,0,91,92
"Nov 1, 2024",AS,oneworld,AS,SAN,EWR,"2,425",282,0,7M9,178,2 ,B ,0715,1545,330,0,91,21
"Nov 1, 2024",AS,oneworld,OO,SAN,FAT,314,3331,0,E75,76,2 ,,0822,0938,76,0,91,91
"Nov 1, 2024",AS,oneworld,OO,SAN,FAT,314,3490,0,E75,76,2 ,,1236,1352,76,0,91,91
"Nov 1, 2024",AS,oneworld,OO,SAN,FAT,314,3327,0,E75,76,2 ,,1659,1815,76,0,91,91
"Nov 1, 2024",AS,oneworld,OO,SAN,FAT,314,3472,0,E75,76,2 ,,2025,2141,76,0,91,91
"Nov 1, 2024",AS,oneworld,AS,SAN,GEG,"1,027",114,0,73H,159,2 ,,1955,2245,170,0,91,93
"Nov 1, 2024",AS,oneworld,AS,SAN,HNL,"2,614",895,0,7M9,178,2 ,2 ,1005,1315,370,0,91,2
"Nov 1, 2024",AS,oneworld,AS,SAN,HNL,"2,614",897,0,73H,159,2 ,2 ,1659,2009,370,0,91,2
"Nov 1, 2024",AS,oneworld,AS,SAN,IAD,"2,253",322,0,73J,178,2 ,,0830,1623,293,0,91,38
"Nov 1, 2024",AS,oneworld,AS,SAN,JFK,"2,446",24,0,7M9,178,2 ,7 ,1050,1915,325,0,91,22
"Nov 1, 2024",AS,oneworld,AS,SAN,JFK,"2,446",36,0,7M9,178,2 ,7 ,2240,0700,320,1,91,22
"Nov 1, 2024",AS,oneworld,AS,SAN,KOA,"2,556",899,0,7M9,178,2 ,,1105,1408,363,0,91,2
"Nov 1, 2024",AS,oneworld,OO,SAN,LAS,258,3342,0,E75,76,2 ,3 ,0822,0938,76,0,91,85
"Nov 1, 2024",AS,oneworld,QX,SAN,LAS,258,2088,0,E75,76,2 ,3 ,1255,1411,76,0,91,85
"Nov 1, 2024",AS,oneworld,OO,SAN,LAS,258,3305,0,E75,76,2 ,3 ,1703,1822,79,0,91,85
"Nov 1, 2024",AS,oneworld,OO,SAN,LAS,258,3370,0,E75,76,2 ,3 ,2117,2236,79,0,91,85
"Nov 1, 2024",AS,oneworld,AS,SAN,MCO,"2,148",320,0,73J,178,2 ,B ,1050,1833,283,0,91,33
"Nov 1, 2024",AS,oneworld,OO,SAN,MRY,376,3346,0,E75,76,2 ,,1231,1358,87,0,91,91
"Nov 1, 2024",AS,oneworld,OO,SAN,MRY,376,3392,0,E75,76,2 ,,2059,2230,91,0,91,91
"Nov 1, 2024",AS,oneworld,AS,SAN,OGG,"2,541",829,0,7M9,178,2 ,,1050,1350,360,0,91,2
"Nov 1, 2024",AS,oneworld,QX,SAN,PAE,"1,080",2155,0,E75,76,2 ,,1915,2219,184,0,91,93
"Nov 1, 2024",AS,oneworld,AS,SAN,PDX,933,1177,0,7M9,178,2 ,,0620,0903,163,0,91,92
"Nov 1, 2024",AS,oneworld,AS,SAN,PDX,933,1181,0,73J,178,2 ,,0800,1041,161,0,91,92
"Nov 1, 2024",AS,oneworld,AS,SAN,PDX,933,1297,0,73H,159,2 ,,1407,1650,163,0,91,92
"Nov 1, 2024",AS,oneworld,AS,SAN,PDX,933,1294,0,7M9,178,2 ,,1721,1959,158,0,91,92
"Nov 1, 2024",AS,oneworld,AS,SAN,PDX,933,1121,0,73J,178,2 ,,2045,2323,158,0,91,92
"Nov 1, 2024",AS,oneworld,OO,SAN,RDM,823,3324,0,E75,76,2 ,,1354,1621,147,0,91,92
"Nov 1, 2024",AS,oneworld,OO,SAN,SBP,263,3383,0,E75,76,2 ,,1230,1342,72,0,91,91
"Nov 1, 2024",AS,oneworld,OO,SAN,SBP,263,3444,0,E75,76,2 ,,2059,2214,75,0,91,91
"Nov 1, 2024",AS,oneworld,AS,SAN,SEA,"1,050",1245,0,7M9,178,2 ,,0615,0923,188,0,91,93
