time_interval,terminal,observed_mean_arrival_seats,observed_mean_departure_seats,time_index,survey_arrivals,survey_arrivals_observations,survey_departures,survey_departures_observations,time_label
"(500.0, 530.0]",2,0.0,0.0,1,0.0,0.0,0.119187930395526,1.0,FIVE_TO_FIVE_THIRTY
"(500.0, 530.0]",99,0.0,0.0,1,0.0,0.0,0.0,0.0,FIVE_TO_FIVE_THIRTY
"(530.0, 600.0]",2,0.0,0.0,2,0.0,0.0,0.48585905291248443,3.0,FIVE_THIRTY_TO_SIX
"(600.0, 630.0]",1,0.0,892.625,3,0.0,0.0,53.02825624618265,2.0,SIX_TO_SIX_THIRTY
"(600.0, 630.0]",2,0.0,2056.4375,3,0.0,0.0,2889.6828685652827,18.0,SIX_TO_SIX_THIRTY
"(600.0, 630.0]",99,0.0,0.0,3,0.0,0.0,0.0,0.0,SIX_TO_SIX_THIRTY
"(630.0, 700.0]",1,232.0,665.15625,4,0.0,0.0,549.8926572079911,6.0,SIX_THIRTY_TO_SEVEN
"(630.0, 700.0]",2,0.0,933.875,4,0.0,0.0,1065.868811496784,9.0,SIX_THIRTY_TO_SEVEN
"(700.0, 730.0]",1,634.9047619047619,506.34375,5,0.0,0.0,703.1457903461037,10.0,SEVEN_TO_SEVEN_THIRTY
"(700.0, 730.0]",2,377.71875,779.1875,5,0.0,0.0,583.4710414009537,32.0,SEVEN_TO_SEVEN_THIRTY
"(730.0, 800.0]",1,747.59375,917.78125,6,0.0,0.0,52.28360524507638,5.0,SEVEN_THIRTY_TO_EIGHT
"(730.0, 800.0]",2,381.83870967741933,1762.5,6,0.0,0.0,2626.358067206179,28.0,SEVEN_THIRTY_TO_EIGHT
"(800.0, 830.0]",1,454.21875,467.84375,7,0.0,0.0,193.5710497744649,5.0,EIGHT_TO_EIGHT_THIRTY
"(800.0, 830.0]",2,522.25,595.5625,7,0.0,0.0,885.5593913655194,165.0,EIGHT_TO_EIGHT_THIRTY
"(830.0, 900.0]",1,494.3125,774.5625,8,0.0,0.0,79.9394182762193,14.0,EIGHT_THIRTY_TO_NINE
"(830.0, 900.0]",2,460.15625,819.125,8,0.0,0.0,1545.352241750293,123.0,EIGHT_THIRTY_TO_NINE
"(900.0, 930.0]",1,655.84375,486.90625,9,0.0,0.0,242.89636717772726,26.0,NINE_TO_NINE_THIRTY
"(900.0, 930.0]",2,767.0,523.96875,9,0.0,0.0,774.8550247557067,186.0,NINE_TO_NINE_THIRTY
"(930.0, 1000.0]",1,423.6875,715.125,10,0.0,0.0,609.87352454898,27.0,NINE_THIRTY_TO_TEN
"(930.0, 1000.0]",2,1042.4375,744.46875,10,0.0,0.0,869.6841293675402,133.0,NINE_THIRTY_TO_TEN
