Description,controlid,expression,priority,indexkey,controlkey,use
Total Employees,tot_emp,"ifelse(marketsegment==2,1,0)",10000,count,all,1
Outbound (Flying out) Passengers,pax_depart,"ifelse(inbound_or_outbound==1 & marketsegment==1, party_size_flight, 0)",10000,airport_terminal,airport_terminal,1
Bus 992 to airport,bus992_depart,"ifelse(inbound_or_outbound==1 & main_mode %in% c(15) , party_size_flight,0)",1000,count,all,1
Bus Flyer to airport,flyer_depart,"ifelse(inbound_or_outbound==1 & main_mode %in% c(16) , party_size_flight,0)",1000,count,all,1
Flight Departure Time 6 to 630,flight_departure_6_to_630,"ifelse(inbound_or_outbound==1 & flight_departure_time==3, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 630 to 7,flight_departure_630_to_7,"ifelse(inbound_or_outbound==1 & flight_departure_time==4, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 7 to 730,flight_departure_7_to_730,"ifelse(inbound_or_outbound==1 & flight_departure_time==5, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 730 to 8,flight_departure_730_to_8,"ifelse(inbound_or_outbound==1 & flight_departure_time==6, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 8 to 830,flight_departure_8_to_830,"ifelse(inbound_or_outbound==1 & flight_departure_time==7, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 830 to 9,flight_departure_830_to_9,"ifelse(inbound_or_outbound==1 & flight_departure_time==8, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 9 to 930,flight_departure_9_to_930,"ifelse(inbound_or_outbound==1 & flight_departure_time==9, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 930 to 10,flight_departure_930_to_10,"ifelse(inbound_or_outbound==1 & flight_departure_time==10, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 10 to 1030,flight_departure_10_to_1030,"ifelse(inbound_or_outbound==1 & flight_departure_time==11, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1030 to 11,flight_departure_1030_to_11,"ifelse(inbound_or_outbound==1 & flight_departure_time==12, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 11 to 1130,flight_departure_11_to_1130,"ifelse(inbound_or_outbound==1 & flight_departure_time==13, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1130 to 12,flight_departure_1130_to_12,"ifelse(inbound_or_outbound==1 & flight_departure_time==14, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 12 to 1230,flight_departure_12_to_1230,"ifelse(inbound_or_outbound==1 & flight_departure_time==15, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1230 to 13,flight_departure_1230_to_13,"ifelse(inbound_or_outbound==1 & flight_departure_time==16, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 13 to 1330,flight_departure_13_to_1330,"ifelse(inbound_or_outbound==1 & flight_departure_time==17, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1330 to 14,flight_departure_1330_to_14,"ifelse(inbound_or_outbound==1 & flight_departure_time==18, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 14 to 1430,flight_departure_14_to_1430,"ifelse(inbound_or_outbound==1 & flight_departure_time==19, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1430 to 15,flight_departure_1430_to_15,"ifelse(inbound_or_outbound==1 & flight_departure_time==20, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 15 to 1530,flight_departure_15_to_1530,"ifelse(inbound_or_outbound==1 & flight_departure_time==21, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1530 to 16,flight_departure_1530_to_16,"ifelse(inbound_or_outbound==1 & flight_departure_time==22, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 16 to 1630,flight_departure_16_to_1630,"ifelse(inbound_or_outbound==1 & flight_departure_time==23, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1630 to 17,flight_departure_1630_to_17,"ifelse(inbound_or_outbound==1 & flight_departure_time==24, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 17 to 1730,flight_departure_17_to_1730,"ifelse(inbound_or_outbound==1 & flight_departure_time==25, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1730 to 18,flight_departure_1730_to_18,"ifelse(inbound_or_outbound==1 & flight_departure_time==26, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 18 to 1830,flight_departure_18_to_1830,"ifelse(inbound_or_outbound==1 & flight_departure_time==27, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1830 to 19,flight_departure_1830_to_19,"ifelse(inbound_or_outbound==1 & flight_departure_time==28, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 19 to 1930,flight_departure_19_to_1930,"ifelse(inbound_or_outbound==1 & flight_departure_time==29, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 1930 to 20,flight_departure_1930_to_20,"ifelse(inbound_or_outbound==1 & flight_departure_time==30, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 20 to 2030,flight_departure_20_to_2030,"ifelse(inbound_or_outbound==1 & flight_departure_time==31, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 2030 to 21,flight_departure_2030_to_21,"ifelse(inbound_or_outbound==1 & flight_departure_time==32, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 21 to 2130,flight_departure_21_to_2130,"ifelse(inbound_or_outbound==1 & flight_departure_time==33, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 2130 to 22,flight_departure_2130_to_22,"ifelse(inbound_or_outbound==1 & flight_departure_time==34, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 22 to 2230,flight_departure_22_to_2230,"ifelse(inbound_or_outbound==1 & flight_departure_time==35, party_size_flight, 0)",1000,count,all,1
Flight Departure Time 2230 to 2300,flight_departure_2230_to_23,"ifelse(inbound_or_outbound==1 & flight_departure_time==36, party_size_flight, 0)",1000,count,all,1
