time_index,time_interval,observed_mean_departure_seats
3,"(600, 630]",2949.0625
4,"(630, 700]",1599.03125
5,"(700, 730]",1285.53125
6,"(730, 800]",2680.28125
7,"(800, 830]",1063.40625
8,"(830, 900]",1593.6875
9,"(900, 930]",1010.875
10,"(930, 1000]",1459.59375
11,"(1000, 1030]",1213.25
12,"(1030, 1100]",1934.625
13,"(1100, 1130]",1825.21875
14,"(1130, 1200]",1236.71875
15,"(1200, 1230]",974.96875
16,"(1230, 1300]",2565.5625
17,"(1300, 1330]",1349.75
18,"(1330, 1400]",1543.84375
19,"(1400, 1430]",1088.96875
20,"(1430, 1500]",785.9616935483871
21,"(1500, 1530]",1249.6875
22,"(1530, 1600]",889.6431451612902
23,"(1600, 1630]",840.7694145758662
24,"(1630, 1700]",1679.3870967741937
25,"(1700, 1730]",1257.516129032258
26,"(1730, 1800]",866.1680814940578
27,"(1800, 1830]",869.8568548387098
28,"(1830, 1900]",1081.6875
29,"(1900, 1930]",1075.8
30,"(1930, 2000]",982.0823136818688
31,"(2000, 2030]",583.7200460829492
32,"(2030, 2100]",1816.9002976190477
33,"(2100, 2130]",535.0619354838709
34,"(2130, 2200]",1509.80625
35,"(2200, 2230]",1039.892857142857
36,"(2230, 2300]",413.2903225806452
