column,status
unique_id,keep
respondentid,keep
is_completed,delete
is_valid_record,delete
date_completed,keep
time_completed,keep
is_pilot,keep
is_self_administered,keep
record_type_synthetic,keep
access_mode,delete
access_mode_frequency,keep
access_mode_frequency_label,keep
access_mode_grouped,access_mode
access_mode_grouped_label,access_mode_label
access_mode_label,delete
access_mode_other,keep
age,keep
age_label,keep
airline,keep
airline_label,keep
airline_other,keep
airport_access_transit_use_elsewhere,keep
airport_access_transit_use_elsewhere_label,keep
airport_terminal,keep
airportaccesstransitname,keep
alt_commute_mode_airport_flyer_shuttle,delete
alt_commute_mode_bicycle_electric_bikeshare,delete
alt_commute_mode_bicycle_non_electric_bikeshare,delete
alt_commute_mode_bicycle_personal_electric_bicycle,delete
alt_commute_mode_bicycle_personal_non_electric_bicycle,delete
alt_commute_mode_car_black,delete
alt_commute_mode_e_scooter_personal,delete
alt_commute_mode_e_scooter_shared,delete
alt_commute_mode_list,keep
alt_commute_mode_mts_route_992,delete
alt_commute_mode_other,delete
alt_commute_mode_other_public_transit,delete
alt_commute_mode_other_shared_van,delete
alt_commute_mode_parked_vehicle_and_drive_alone,delete
alt_commute_mode_parked_vehicle_and_drive_with_others,delete
alt_commute_mode_parked_vehicle_and_ride_with_other_travelers,delete
alt_commute_mode_picked_by_family_friend,delete
alt_commute_mode_taxi,delete
alt_commute_mode_uber_lyft,delete
alt_commute_mode_walk,delete
alt_commute_mode_wheelchair,delete
car_available,keep
car_available_label,keep
car_available_other,keep
carryon_bags,keep
carryon_bags_label,keep
checked_bags,keep
checked_bags_label,keep
commute_mode_decision,keep
commute_mode_decision_label,keep
commute_mode_decision_other,keep
convention_center,keep
convention_center_activity,keep
convention_center_activity_label,keep
convention_center_activity_other,keep
convention_center_label,keep
country_of_residence,keep
country_of_residence_label,keep
destination_activity_type,keep
destination_activity_type_label,keep
destination_activity_type_other,keep
destination_city,keep
destination_latitude,keep
destination_longitude,keep
destination_municipal_zone,keep
destination_name,keep
destination_pmsa,keep
destination_pmsa_label,keep
destination_state,keep
destination_zip,keep
egress_mode,delete
egress_mode_grouped,egress_mode
egress_mode_grouped_label,egress_mode_label
egress_mode_label,delete
egress_mode_other,keep
employee_parking,keep
employer,keep
employer_label,keep
employer_other,keep
final_flight_destination,keep
flight_arrival_time,keep
flight_arrival_time_label,keep
flight_departure_time,keep
flight_departure_time_label,keep
flight_number,keep
flight_purpose,keep
flight_purpose_label,keep
flight_purpose_other,keep
from_airport_transit_route_1,delete
from_airport_transit_route_1_other,delete
from_airport_transit_route_2,delete
from_airport_transit_route_2_other,delete
from_airport_transit_route_3,delete
from_airport_transit_route_3_other,delete
from_airport_transit_route_4,delete
from_airport_transit_route_4_other,delete
gender,keep
gender_label,keep
gender_other,keep
general_modes_used_visitor_bicycle_electric_bikeshare,delete
general_modes_used_visitor_bicycle_non_electric_bikeshare,delete
general_modes_used_visitor_bicycle_personal_electric_bicycle,delete
general_modes_used_visitor_bicycle_personal_non_electric_bicycle,delete
general_modes_used_visitor_car_black,delete
general_modes_used_visitor_chartered_tour_bus,delete
general_modes_used_visitor_coaster,delete
general_modes_used_visitor_dropped_off_by_family_friend,delete
general_modes_used_visitor_drove_alone_and_parked,delete
general_modes_used_visitor_drove_with_others_and_parked,delete
general_modes_used_visitor_e_scooter_personal,delete
general_modes_used_visitor_e_scooter_shared,delete
general_modes_used_visitor_employee_shuttle,delete
general_modes_used_visitor_hotel_shuttle_van,delete
general_modes_used_visitor_list,keep
general_modes_used_visitor_mts_red_trolley,delete
general_modes_used_visitor_other,delete
general_modes_used_visitor_other_public_bus,delete
general_modes_used_visitor_other_public_transit,delete
general_modes_used_visitor_other_shared_van,delete
general_modes_used_visitor_rental_car_dropped_off,delete
general_modes_used_visitor_rental_car_parked,delete
general_modes_used_visitor_rode_with_other_travelers_and_parked,delete
general_modes_used_visitor_taxi,delete
