origin_latitude,origin_longitude,municipal_zone
32.8167139999997,-117.176897999999,3
32.639943,-117.085774,4
32.743009,-117.131699,2
32.706752,-117.14881,1
32.678108,-117.099196,2
32.711739,-117.061755,2
32.755747,-117.197638,2
32.690364,-117.174227,2
32.605071,-117.072602,4
32.7127709999997,-117.155959999999,1
32.7084809999999,-117.158784999999,1
32.7057769999997,-117.137517,2
32.7710999999997,-117.15,3
32.7489059999997,-117.139688,2
32.716036,-117.167002,1
32.6400539999999,-117.084194999999,4
32.675676,-117.051621,2
32.70277,-117.138775999999,2
32.5556199999997,-117.047426,4
32.723412,-117.131146,2
32.71043,-117.085128,2
32.574429,-117.071843,4
32.7256849999998,-117.202522,2
32.707,-117.082088,2
32.696361,-117.110918,2
32.725926,-117.110654999999,2
32.749498,-117.247035,2
32.7131499999998,-117.065468999999,2
32.7028669999997,-117.132852,2
32.923121,-117.230096,3
32.7383219999997,-116.995335999999,5
32.72749,-117.160435,2
32.751364,-117.178254999999,2
32.7099669999998,-117.158001,1
32.7405809999998,-117.101273,2
32.717345,-117.145196,2
32.803814,-117.250721,3
32.7164909999997,-117.136899,2
32.7181599999997,-117.126956,2
32.570138,-117.070477,4
32.6422,-117.086741,4
32.741919,-117.145180999999,2
32.716473,-117.153174,1
32.6999179999997,-117.068599,2
32.7324559999999,-117.121112,2
32.711052,-117.146092999999,2
32.714843,-117.108453999999,2
32.579422,-117.110964999999,4
32.692621,-117.129367,2
32.704008,-117.157661,2
32.7293689999997,-117.211668,2
32.724063,-117.16298,2
32.685383,-117.101862,2
32.715853,-117.133787,2
33.16452,-117.216721,7
32.9188589999997,-117.137846,3
32.7264449999997,-117.223534,2
32.7045809999997,-117.085114,2
32.5161179999998,-117.026000999999,
32.7540869999997,-117.130197,2
32.7947729999999,-116.962526,5
32.89806,-117.192545999999,3
32.750923,-117.128001,2
32.756143,-117.132306,2
32.644565,-117.088044999999,4
32.7273959999998,-117.165239,2
32.803007,-117.204106999999,3
33.0247669999997,-117.112934999999,3
32.7585819999997,-117.133024,2
32.729984,-117.167302,2
32.745648,-117.129416,2
32.8356059999998,-117.201581,3
33.857765,-118.248649,
32.74953,-117.10017,2
32.741323,-117.163874,2
32.752496,-117.17746,2
32.687941,-117.073077,2
32.757434,-117.110142999999,2
32.638981,-117.083014,4
32.7251809999999,-117.209053,2
32.720044,-117.156998,1
32.7089539999998,-117.135597,2
32.7425509999998,-117.031417,5
32.778385,-117.129429,3
32.7451209999997,-117.12983,2
32.7264449999997,-117.223534,2
32.678108,-117.099196,2
32.800725,-117.131812999999,3
32.779007,-117.146866,3
32.798997,-116.902818999999,5
32.7090639999997,-117.170936,1
32.7574219999997,-117.147288,2
32.768818,-117.096587,2
32.789472,-117.170119,3
32.791848,-117.199895,3
32.749102,-117.18225,2
32.7833049999998,-117.202572,3
32.754617,-117.219606,2
32.750323,-117.159240999999,2
32.73519,-117.216247,2
32.752679,-117.171,2
32.791848,-117.199895,3
32.76794,-117.188762999999,3
37.774929,-122.419415,
32.791848,-117.199895,3
32.7915479999998,-117.167788,3
32.7949059999997,-117.245503,3
32.73519,-117.216247,2
32.695773,-117.109414,2
32.683061,-117.048957,2
32.711502,-117.108695,2
32.7014179999997,-117.146957,2
32.600461,-117.051981,4
32.7947729999999,-116.962526,5
32.8026079999999,-117.235547999999,3
32.530797,-117.031715,
32.7756919999999,-117.178038,3
32.7574219999997,-117.147288,2
32.757137,-117.134232999999,2
32.7856099999997,-117.167396999999,3
32.7515209999997,-117.176254,2
32.760806,-117.148525,2
32.791848,-117.199895,3
32.803376,-117.260103,3
32.756109,-117.173674,2
32.7558,-117.21817,2
32.752664,-117.173936,2
32.7401729999998,-117.218773,2
32.7745409999999,-117.182030999999,3
32.756967,-117.191588,2
32.7813859999997,-117.168628,3
32.758889,-117.149317999999,2
32.7539579999997,-117.184889,2
32.7561779999998,-117.185368,2
32.755569,-117.182331,2
32.754465,-117.208837,2
32.749197,-117.165805,2
32.7411299999997,-117.212092,2
32.759408,-117.189988,3
32.7746679999997,-117.172618,3
32.747107,-117.16634,2
32.779007,-117.146866,3
32.777576,-117.196132,3
32.7251809999999,-117.209053,2
32.8243829999997,-117.217685,3
32.7673569999997,-117.162666,3
32.664656,-116.973366,4
32.8074769999998,-117.209546,3
32.8242419999997,-117.217637,3
32.715012,-117.155932,1
32.7503999999999,-117.170219,2
32.6400539999999,-117.084194999999,4
32.768293,-117.190282,3
32.7780259999997,-117.201145999999,3
32.771825,-117.184022,3
32.776848,-117.170043,3
32.777486,-117.171924,3
32.754012,-117.17793,2
32.583944,-117.113084,4
32.751038,-117.14216,2
32.754159,-117.178267,2
32.791848,-117.199895,3
32.800725,-117.131812999999,3
32.7697739999997,-117.18107,3
32.544111,-117.029253,4
32.800725,-117.131812999999,3
32.7698609999998,-117.179176,3
32.632762,-117.088826,4
32.520204,-117.037662999999,
32.7928,-117.068358,3
32.6780839999997,-117.098777,2
32.5761389999997,-117.014673,4
33.448377,-112.074037,
32.718539,-117.161396,1
32.9183069999998,-117.138726,3
32.716334,-117.152269,1
32.734676,-117.02329,5
32.974626,-117.131516,3
32.6790889999997,-117.100046,2
32.6612879999999,-117.040820999999,2
32.678108,-117.099196,2
32.7447629999998,-116.998941,5
32.715741,-117.161075,1
32.715868,-117.129614,2
32.7288459999997,-117.099888,2
32.768599,-117.148008,3
32.719765,-117.158231,1
32.668281,-117.020346,4
32.675859,-117.040366,2
32.802985,-117.163512999999,3
32.742156,-117.12906,2
32.514946,-117.038247,
32.783293,-117.170062,3
32.668309,-117.090663,2
34.096676,-117.719778,
33.229725,-117.252463,6
32.7533949999997,-117.079116,2
32.749713,-117.111901,2
32.775274,-117.240122,3
32.794009,-116.964398,5
32.6693769999997,-117.072836,2
32.5459839999997,-116.943828999999,
32.685138,-117.082818,2
32.703735,-117.125373,2
32.798163,-117.24043,3
32.748378,-117.162567,2
32.796266,-117.160657,3
37.7109779999998,-122.224412,
32.6400539999999,-117.084194999999,4
32.74027,-117.178608,2
32.7573,-117.083631999999,2
32.7425509999998,-117.031417,5
32.6400539999999,-117.084194999999,4
33.118375,-117.308318,6
32.62843,-116.989864999999,4
32.6809689999997,-117.17832,2
34.067858,-117.139578,
32.5764179999997,-117.09466,4
32.5839399999997,-117.092724,4
32.5496539999997,-117.036835999999,4
32.8122609999999,-116.918536,5
32.7827869999999,-117.022329,5
33.6747939999998,-117.251793,
32.6298749999997,-117.086012999999,4
32.605071,-117.072602,4
33.0344819999997,-117.080432,3
33.5520649999998,-117.212875,
32.80031,-117.141184,3
33.6971459999997,-117.185294,
32.709114,-117.166233,1
32.742997,-117.126288,2
32.808844,-117.210355,3
32.793672,-116.962012,5
32.780605,-117.03164,5
32.745648,-117.129416,2
32.7115709999999,-117.157388,1
32.751235,-117.184911,2
32.7394609999998,-117.001952,5
32.7036,-117.063678,2
32.74334,-117.160387,2
33.5179959999997,-117.148786,
32.721958,-117.166516,1
32.6752669999997,-117.102142,2
32.7513909999997,-117.137823,2
32.739435,-117.023962,5
32.7156439999997,-117.166518,1
32.6634519999999,-117.106843,2
32.779007,-117.146866,3
32.5837799999997,-117.084096,4
32.7780169999997,-117.021783,5
