ETC_name,WSP_name
ID,respondentid
DATE_COMPLETED,date_completed
SUBMIT,submit
LOCATION_Code_,interview_location
LOCATION,interview_location_label
LOCATION_Other_,interview_location_other
IN_OUT_Code_,inbound_or_outbound
IN_OUT,inbound_or_outbound_label
WHY_AT_AIRPORT_Code_,marketsegment
WHY_AT_AIRPORT,marketsegment_label
OVER18_Code_,delete
OVER18,is_qualified_age
ARRIV_DEPART_CONNECT_Code_,passenger_type
ARRIV_DEPART_CONNECT,passenger_type_label
RESIDENT_VISITOR_GEN_Code_,resident_visitor_general
RESIDENT_VISITOR_GEN,resident_visitor_general_label
RESIDENT_VISITOR_FU_Code_,resident_visitor_followup
RESIDENT_VISITOR_FU,resident_visitor_followup_label
RESIDENT_VISITOR_ARR_Code_,delete
RESIDENT_VISITOR_ARR,resident_visitor_arriving
RESIDENT_VISITOR_Code_,resident_visitor
RESIDENT_VISITOR,resident_visitor_label
COUNTRY_OF_RESIDENCE_Code_,country_of_residence
COUNTRY_OF_RESIDENCE,country_of_residence_label
US_STATE_Code_,state_of_residence
US_STATE,state_of_residence_label
WHERE_FLY,previous_or_next_airport
AIRLINE_Code_,airline
AIRLINE,airline_label
AIRLINE_Other_,airline_other
FLIGHT_NUM,flight_number
FINAL_OR_CONNECT_Code_,delete
FINAL_OR_CONNECT,not_using_connecting
FINAL_DESTINATION,final_flight_destination
PAX_DEPARTURE_TIME_Code_,flight_departure_time
PAX_DEPARTURE_TIME,flight_departure_time_label
PAX_ARRIVAL_TIME_Code_,flight_arrival_time
PAX_ARRIVAL_TIME,flight_arrival_time_label
STARTING_AIRPORT,original_flight_origin
PRIMARY_PURPOSE_Code_,flight_purpose
PRIMARY_PURPOSE,flight_purpose_label
PRIMARY_PURPOSE_Other_,flight_purpose_other
CONVENTION_CENTER_Code_,convention_center
CONVENTION_CENTER,convention_center_label
CONVENTION_ACTIVITY_Code_,convention_center_activity
CONVENTION_ACTIVITY,convention_center_activity_label
CONVENTION_ACTIVITY_Other_,convention_center_activity_other
BAGS_CHECKED_Code_,checked_bags
BAGS_CHECKED,checked_bags_label
CARRYON_BAGS_Code_,carryon_bags
CARRYON_BAGS,carryon_bags_label
NIGHTS_AWAY_Code_,nights_away
NIGHTS_AWAY,nights_away_label
NIGHTS_VISITED_Code_,nights_visited
NIGHTS_VISITED,nights_visited_label
PARTY_SIZE_Code_,party_size_flight
PARTY_SIZE,party_size_flight_label
TRAVEL_TOGETHER_Code_,delete
TRAVEL_TOGETHER,party_size_ground_access_same
TRAVEL_PARTY_SIZE_Code_,party_size_ground_access
TRAVEL_PARTY_SIZE,party_size_ground_access_label
INCLUDED_PERSONS_1,party_includes_child_aged00to05
INCLUDED_PERSONS_2,party_includes_child_aged06to17
INCLUDED_PERSONS_3,party_includes_coworker
INCLUDED_PERSONS_4,party_includes_friend_relative
INCLUDED_PERSONS_5,party_includes_mobility_impaired
EMP_SELECT_LOC_TYPE_Code_,delete
EMP_SELECT_LOC_TYPE,delete
NAME_BUILDING_Code_,shift_start_airport_building
NAME_BUILDING,shift_start_airport_building_label
NAME_BUILDING_Other_,shift_start_airport_building_other
EMPLOYER_Code_,employer
EMPLOYER,employer_label
EMPLOYER_Other_,employer_other
DESCRIBE_JOB_Code_,occupation
DESCRIBE_JOB,occupation_label
DESCRIBE_JOB_Other_,occupation_other
EMP_HOURS_WORK_Code_,number_hours_worked
EMP_HOURS_WORK,number_hours_worked_label
EMP_COMMUTE_DAYS_Code_,number_commute_days
EMP_COMMUTE_DAYS,number_commute_days_label
SHIFT_START_Code_,shift_start_time
SHIFT_START,shift_start_time_label
SHIFT_END_Code_,shift_end_time
SHIFT_END,shift_end_time_label
ORIGIN_PLACE_TYPE_Code_,origin_activity_type
ORIGIN_PLACE_TYPE,origin_activity_type_label
ORIGIN_PLACE_TYPE_Other_,origin_activity_type_other
ORIGIN_NAME,origin_name
ORIGIN_ADDRESS_CITY_,origin_city
ORIGIN_ADDRESS_STATE_,origin_state
ORIGIN_ADDRESS_ZIP_,origin_zip
ORIGIN_ADDRESS_LAT_,origin_latitude
ORIGIN_ADDRESS_LONG_,origin_longitude
DESTIN_PLACE_TYPE_Code_,destination_activity_type
DESTIN_PLACE_TYPE,destination_activity_type_label
DESTIN_PLACE_TYPE_Other_,destination_activity_type_other
DESTIN_NAME,destination_name
DESTIN_ADDRESS_CITY_,destination_city
DESTIN_ADDRESS_STATE_,destination_state
DESTIN_ADDRESS_ZIP_,destination_zip
DESTIN_ADDRESS_LAT_,destination_latitude
DESTIN_ADDRESS_LONG_,destination_longitude
MAIN_TRANSIT_MODE_Code_,main_transit_mode
MAIN_TRANSIT_MODE,main_transit_mode_label
MAIN_MODE_Code_,main_mode
MAIN_MODE,main_mode_label
MAIN_MODE_Other_,main_mode_other
NAME_OTHR_SHARED_VAN,shared_van_other
TRIP_START_TIME_Code_,trip_start_time
TRIP_START_TIME,trip_start_time_label
TRIP_ARRIVAL_TIME_Code_,trip_arrival_time
TRIP_ARRIVAL_TIME,trip_arrival_time_label
PREV_TRANSFERS_Code_,number_transit_vehicles_to_airport
PREV_TRANSFERS,number_transit_vehicles_to_airport_label
TRIP_FIRST_ROUTE_Code_,to_airport_transit_route_1
TRIP_FIRST_ROUTE,delete
TRIP_FIRST_ROUTE_Other_,to_airport_transit_route_1_other
TRIP_SECOND_ROUTE_Code_,to_airport_transit_route_2
TRIP_SECOND_ROUTE,delete
TRIP_SECOND_ROUTE_Other_,to_airport_transit_route_2_other
TRIP_THIRD_ROUTE_Code_,to_airport_transit_route_3
TRIP_THIRD_ROUTE,delete
TRIP_THIRD_ROUTE_Other_,to_airport_transit_route_3_other
TRIP_FOURTH_ROUTE_Code_,to_airport_transit_route_4
TRIP_FOURTH_ROUTE,delete
TRIP_FOURTH_ROUTE_Other_,to_airport_transit_route_4_other
ORIGIN_TRANSPORT_Code_,access_mode
ORIGIN_TRANSPORT,access_mode_label
ORIGIN_TRANSPORT_Other_,access_mode_other
TAXI_FHV_FARE,taxi_fhv_fare
TAXI_FHV_WAIT,taxi_fhv_wait
PARKING_LOCATION_Code_,parking_location
PARKING_LOCATION,parking_location_label
PARKING_LOCATION_Other_,parking_location_other
PARKING_COST,parking_cost
PARKING_COST_FREQ_Code_,parking_cost_frequency
PARKING_COST_FREQ,parking_cost_frequency_label
PARKING_COST_FREQ_Other_,parking_cost_frequency_other
REIMBURSEMENT_Code_,reimbursement
REIMBURSEMENT,reimbursement_label
NEXT_TRANSFERS_Code_,number_transit_vehicles_from_airport
NEXT_TRANSFERS,number_transit_vehicles_from_airport_label
TRIP_NEXT_ROUTE_Code_,from_airport_transit_route_1
TRIP_NEXT_ROUTE,delete
TRIP_NEXT_ROUTE_Other_,from_airport_transit_route_1_other
TRIP_AFTER_ROUTE_Code_,from_airport_transit_route_2
TRIP_AFTER_ROUTE,delete
TRIP_AFTER_ROUTE_Other_,from_airport_transit_route_2_other
TRIP_3RD_ROUTE_Code_,from_airport_transit_route_3
TRIP_3RD_ROUTE,delete
TRIP_3RD_ROUTE_Other_,from_airport_transit_route_3_other
TRIP_LAST4TH_RTE_Code_,from_airport_transit_route_4
TRIP_LAST4TH_RTE,delete
TRIP_LAST4TH_RTE_Other_,from_airport_transit_route_4_other
DESTIN_TRANSPORT_Code_,egress_mode
DESTIN_TRANSPORT,egress_mode_label
DESTIN_TRANSPORT_Other_,egress_mode_other
STOP_ON_ADDR_,delete
STOP_ON_CLNTID_,transit_boarding_stop_name
STOP_ON_LAT_,transit_boarding_latitude
STOP_ON_LONG_,transit_boarding_longitude
STOP_OFF_ADDR_,delete
STOP_OFF_CLNTID_,transit_alighting_stop_name
STOP_OFF_LAT_,transit_alighting_latitude
STOP_OFF_LONG_,transit_alighting_longitude
PREV_TRAN_1_ON_BUS_LAT_,delete
PREV_TRAN_1_ON_BUS_LONG_,delete
PREV_TRAN_1_OFF_BUS_LAT_,delete
PREV_TRAN_1_OFF_BUS_LONG_,delete
PREV_TRAN_2_ON_BUS_LAT_,delete
PREV_TRAN_2_ON_BUS_LONG_,delete
PREV_TRAN_2_OFF_BUS_LAT_,delete
PREV_TRAN_2_OFF_BUS_LONG_,delete
PREV_TRAN_3_ON_BUS_LAT_,delete
PREV_TRAN_3_ON_BUS_LONG_,delete
PREV_TRAN_3_OFF_BUS_LAT_,delete
PREV_TRAN_3_OFF_BUS_LONG_,delete
PREV_TRAN_4_ON_BUS_LAT_,delete
PREV_TRAN_4_ON_BUS_LONG_,delete
PREV_TRAN_4_OFF_BUS_LAT_,delete
PREV_TRAN_4_OFF_BUS_LONG_,delete
NEXT_TRAN_1_ON_BUS_LAT_,delete
NEXT_TRAN_1_ON_BUS_LONG_,delete
NEXT_TRAN_1_OFF_BUS_LAT_,delete
NEXT_TRAN_1_OFF_BUS_LONG_,delete
NEXT_TRAN_2_ON_BUS_LAT_,delete
NEXT_TRAN_2_ON_BUS_LONG_,delete
NEXT_TRAN_2_OFF_BUS_LAT_,delete
NEXT_TRAN_2_OFF_BUS_LONG_,delete
NEXT_TRAN_3_ON_BUS_LAT_,delete
NEXT_TRAN_3_ON_BUS_LONG_,delete
NEXT_TRAN_3_OFF_BUS_LAT_,delete
NEXT_TRAN_3_OFF_BUS_LONG_,delete
NEXT_TRAN_4_ON_BUS_LAT_,delete
NEXT_TRAN_4_ON_BUS_LONG_,delete
NEXT_TRAN_4_OFF_BUS_LAT_,delete
NEXT_TRAN_4_OFF_BUS_LONG_,delete
CAR_AVAILABILITY_Code_,car_available
CAR_AVAILABILITY,car_available_label
CAR_AVAILABILITY_Other_,car_available_other
SDIA_FLIGHT_FREQ_Code_,sdia_flight_frequency
SDIA_FLIGHT_FREQ,sdia_flight_frequency_label
SDIA_PREV_MODE_Code_,sdia_previous_accessmode
SDIA_PREV_MODE,sdia_previous_accessmode_label
SDIA_ACCESS_SPLIT_9,sdia_accessmode_split_taxi
SDIA_ACCESS_SPLIT_10,sdia_accessmode_split_uber_lyft
SDIA_ACCESS_SPLIT_11,sdia_accessmode_split_car_black
SDIA_ACCESS_SPLIT_12,sdia_accessmode_split_dropped_off_by_family_friend
SDIA_ACCESS_SPLIT_13,sdia_accessmode_split_drove_alone_and_parked
SDIA_ACCESS_SPLIT_14,sdia_accessmode_split_drove_with_others_and_parked
SDIA_ACCESS_SPLIT_15,sdia_accessmode_split_rode_with_other_travelers_and_parked
SDIA_ACCESS_SPLIT_16,sdia_accessmode_split_mts992
SDIA_ACCESS_SPLIT_17,sdia_accessmode_split_flyer_shuttle
SDIA_ACCESS_SPLIT_18,sdia_accessmode_split_other_public_transit
SDIA_ACCESS_SPLIT_21,sdia_accessmode_split_rental_car_dropped_off
SDIA_ACCESS_SPLIT_22,sdia_accessmode_split_rental_car_parked
SDIA_ACCESS_SPLIT_19,sdia_accessmode_split_chartered_tour_bus
SDIA_ACCESS_SPLIT_23,sdia_accessmode_split_hotel_shuttle_van
SDIA_ACCESS_SPLIT_20,sdia_accessmode_split_employee_shuttle
SDIA_ACCESS_SPLIT_24,sdia_accessmode_split_other_shared_van
SDIA_ACCESS_SPLIT_1,sdia_accessmode_split_walk
SDIA_ACCESS_SPLIT_2,sdia_accessmode_split_wheelchair
SDIA_ACCESS_SPLIT_3,sdia_accessmode_split_bicycle_electric_bikeshare
SDIA_ACCESS_SPLIT_4,sdia_accessmode_split_bicycle_non_electric_bikeshare
SDIA_ACCESS_SPLIT_6,sdia_accessmode_split_bicycle_personal_electric_bicycle
SDIA_ACCESS_SPLIT_7,sdia_accessmode_split_bicycle_personal_non_electric_bicycle
SDIA_ACCESS_SPLIT_5,sdia_accessmode_split_e_scooter_shared
SDIA_ACCESS_SPLIT_8,sdia_accessmode_split_e_scooter_personal
MODE_DECISION_Code_,sdia_accessmode_decision
