column,value,label_value,count,label_count,date
main_transit_mode,3,None of the above,117,117.0,2024-09-30
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,3,3.0,2024-09-30
main_mode,12.0,Dropped off by car by family/friend,35,35.0,2024-09-30
main_mode,10.0,Uber/Lyft,30,30.0,2024-09-30
main_mode,19.0,Rental car: Dropped off at rental agency,19,19.0,2024-09-30
main_mode,23.0,Picked up by car by family/friend,8,8.0,2024-09-30
main_mode,9.0,Taxi,4,4.0,2024-09-30
main_mode,13.0,Drove alone and parked,4,4.0,2024-09-30
main_mode,25.0,Get in a parked vehicle and drive alone,3,3.0,2024-09-30
main_mode,24.0,Get in a parked vehicle and drive with others,3,3.0,2024-09-30
main_mode,28.0,Rental car: get in a parked rental car,2,2.0,2024-09-30
main_mode,11.0,Car service/black car/limo/executive car,2,2.0,2024-09-30
main_mode,21.0,Hotel shuttle van,2,2.0,2024-09-30
main_mode,18.0,Employee shuttle,1,1.0,2024-09-30
main_mode,22.0,Other shared van (please specify),1,1.0,2024-09-30
main_mode,16.0,Drove with others and parked,1,1.0,2024-09-30
main_mode,14.0,Rental car: parked rental car,1,1.0,2024-09-30
main_mode,20.0,,1,,2024-09-30
access_mode,13.0,Drove alone and parked,2,2.0,2024-09-30
access_mode,1.0,Walk,1,1.0,2024-09-30
access_mode,12.0,Dropped off by car by family/friend,1,1.0,2024-09-30
reverse_mode,13.0,Drove alone and parked,1,1.0,2024-09-30
reverse_mode,12.0,Dropped off by car by family/friend,1,1.0,2024-09-30
reverse_mode_predicted,12.0,Dropped off by car by family/friend,6,6.0,2024-09-30
reverse_mode_predicted,10.0,Uber/Lyft,5,5.0,2024-09-30
reverse_mode_predicted,9.0,Taxi,2,2.0,2024-09-30
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,1,1.0,2024-09-30
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,7,7.0,2024-09-30
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,2,2.0,2024-09-30
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,2,2.0,2024-09-30
other_airport_accessmode,17.0,CHARTERED TOUR BUS,1,1.0,2024-09-30
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,1,1.0,2024-09-30
other_airport_accessmode,10.0,UBER LYFT,1,1.0,2024-09-30
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,3,3.0,2024-09-30
reverse_commute_mode,18.0,Other public transit,1,1.0,2024-09-30
main_transit_mode,3,None of the above,275,275.0,2024-10-01
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,7,7.0,2024-10-01
main_transit_mode,MTS_1_992,MTS Route 992,5,5.0,2024-10-01
main_mode,12.0,Dropped off by car by family/friend,99,99.0,2024-10-01
main_mode,10.0,Uber/Lyft,90,90.0,2024-10-01
main_mode,13.0,Drove alone and parked,24,24.0,2024-10-01
main_mode,19.0,Rental car: Dropped off at rental agency,18,18.0,2024-10-01
main_mode,9.0,Taxi,7,7.0,2024-10-01
main_mode,21.0,Hotel shuttle van,6,6.0,2024-10-01
main_mode,30.0,Other public transit,5,5.0,2024-10-01
main_mode,14.0,Drove with others and parked,5,5.0,2024-10-01
main_mode,23.0,Picked up by car by family/friend,4,4.0,2024-10-01
main_mode,24.0,Get in a parked vehicle and drive alone,3,3.0,2024-10-01
main_mode,18.0,Employee shuttle,2,2.0,2024-10-01
main_mode,27.0,Rental car: Picked up at rental agency,2,2.0,2024-10-01
main_mode,20.0,Rental car: parked rental car,2,2.0,2024-10-01
main_mode,11.0,Car service/black car/limo/executive car,2,2.0,2024-10-01
main_mode,29.0,Rode with other traveler(s) and parked,2,2.0,2024-10-01
main_mode,26.0,Get in a parked vehicle and ride with other traveler(s),1,1.0,2024-10-01
main_mode,22.0,Other shared van (please specify),1,1.0,2024-10-01
main_mode,28.0,Rental car: get in a parked rental car,1,1.0,2024-10-01
main_mode,17.0,Chartered tour bus,1,1.0,2024-10-01
access_mode,1.0,Walk,5,5.0,2024-10-01
access_mode,16.0,Other public transit,2,2.0,2024-10-01
access_mode,14.0,Drove with others and parked,1,1.0,2024-10-01
access_mode,10.0,Uber/Lyft,1,1.0,2024-10-01
access_mode,11.0,Car service/black car/limo/executive car,1,1.0,2024-10-01
access_mode,12.0,Dropped off by car by family/friend,1,1.0,2024-10-01
access_mode,98.0,Other,1,1.0,2024-10-01
reverse_mode,10.0,Uber/Lyft,1,1.0,2024-10-01
reverse_mode,9.0,Taxi,1,1.0,2024-10-01
reverse_mode,20.0,Employee shuttle,1,1.0,2024-10-01
reverse_mode,21.0,Rental car: Dropped off at rental agency,1,1.0,2024-10-01
reverse_mode_predicted,12.0,Dropped off by car by family/friend,36,36.0,2024-10-01
reverse_mode_predicted,10.0,Uber/Lyft,27,27.0,2024-10-01
reverse_mode_predicted,13.0,Drove alone and parked,12,12.0,2024-10-01
reverse_mode_predicted,14.0,Drove with others and parked,4,4.0,2024-10-01
reverse_mode_predicted,18.0,Other public transit,3,3.0,2024-10-01
reverse_mode_predicted,98.0,Other,2,2.0,2024-10-01
reverse_mode_predicted,9.0,Taxi,2,2.0,2024-10-01
reverse_mode_predicted,20.0,Employee shuttle,1,1.0,2024-10-01
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,1,1.0,2024-10-01
reverse_mode_predicted,15.0,Rode with other traveler(s) and parked,1,1.0,2024-10-01
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,7,7.0,2024-10-01
other_airport_accessmode,10.0,UBER LYFT,7,7.0,2024-10-01
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,5,5.0,2024-10-01
other_airport_accessmode,19.0,RENTAL CAR AND DROPPED IT OFF AT RENTAL AGENCY,4,4.0,2024-10-01
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,2,2.0,2024-10-01
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,2,2.0,2024-10-01
other_airport_accessmode,9.0,TAXI,1,1.0,2024-10-01
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,1,1.0,2024-10-01
other_airport_accessmode,21.0,HOTEL SHUTTLE VAN,1,1.0,2024-10-01
other_airport_accessmode,1.0,WALK,1,1.0,2024-10-01
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,15,15.0,2024-10-01
reverse_commute_mode,1.0,Walk,2,2.0,2024-10-01
reverse_commute_mode,16.0,MTS Route 992,2,2.0,2024-10-01
reverse_commute_mode,18.0,Other public transit,1,1.0,2024-10-01
reverse_commute_mode,10.0,Uber/Lyft,1,1.0,2024-10-01
main_transit_mode,3,None of the above,256,256.0,2024-10-02
main_transit_mode,MTS_1_992,MTS Route 992,7,7.0,2024-10-02
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,7,7.0,2024-10-02
main_mode,10.0,Uber/Lyft,100,100.0,2024-10-02
main_mode,12.0,Dropped off by car by family/friend,77,77.0,2024-10-02
main_mode,13.0,Drove alone and parked,22,22.0,2024-10-02
main_mode,19.0,Rental car: Dropped off at rental agency,16,16.0,2024-10-02
main_mode,9.0,Taxi,10,10.0,2024-10-02
main_mode,21.0,Hotel shuttle van,7,7.0,2024-10-02
main_mode,11.0,Car service/black car/limo/executive car,6,6.0,2024-10-02
main_mode,14.0,Drove with others and parked,5,5.0,2024-10-02
main_mode,30.0,Other public transit,3,3.0,2024-10-02
main_mode,22.0,Other shared van (please specify),3,3.0,2024-10-02
main_mode,18.0,Employee shuttle,2,2.0,2024-10-02
main_mode,23.0,Picked up by car by family/friend,2,2.0,2024-10-02
main_mode,20.0,Rental car: parked rental car,2,2.0,2024-10-02
main_mode,29.0,Rode with other traveler(s) and parked,1,1.0,2024-10-02
access_mode,10.0,Uber/Lyft,4,4.0,2024-10-02
access_mode,1.0,Walk,4,4.0,2024-10-02
access_mode,16.0,Other public transit,2,2.0,2024-10-02
access_mode,13.0,Drove alone and parked,2,2.0,2024-10-02
access_mode,11.0,Car service/black car/limo/executive car,1,1.0,2024-10-02
egress_mode,14.0,Picked up by car by family/friend,1,1.0,2024-10-02
reverse_mode,10.0,Uber/Lyft,61,61.0,2024-10-02
reverse_mode,12.0,Dropped off by car by family/friend,23,23.0,2024-10-02
reverse_mode,9.0,Taxi,15,15.0,2024-10-02
reverse_mode,21.0,Rental car: Dropped off at rental agency,14,14.0,2024-10-02
reverse_mode,23.0,Hotel shuttle van,4,4.0,2024-10-02
reverse_mode,24.0,Other shared van (please specify),2,2.0,2024-10-02
reverse_mode,22.0,Rental car: parked rental car,2,2.0,2024-10-02
reverse_mode,1.0,Walk,2,2.0,2024-10-02
reverse_mode,11.0,Car service/black car/limo/executive car,2,2.0,2024-10-02
reverse_mode,17.0,Airport flyer shuttle,1,1.0,2024-10-02
reverse_mode,6.0,Bicycle: personal electric bicycle,1,1.0,2024-10-02
reverse_mode_predicted,12.0,Dropped off by car by family/friend,38,38.0,2024-10-02
reverse_mode_predicted,10.0,Uber/Lyft,29,29.0,2024-10-02
reverse_mode_predicted,14.0,Drove with others and parked,4,4.0,2024-10-02
reverse_mode_predicted,13.0,Drove alone and parked,4,4.0,2024-10-02
reverse_mode_predicted,11.0,Car service/black car/limo/executive car,4,4.0,2024-10-02
reverse_mode_predicted,16.0,MTS Route 992,3,3.0,2024-10-02
reverse_mode_predicted,98.0,Other,3,3.0,2024-10-02
reverse_mode_predicted,9.0,Taxi,2,2.0,2024-10-02
reverse_mode_predicted,24.0,Other shared van (please specify),2,2.0,2024-10-02
reverse_mode_predicted,18.0,Other public transit,1,1.0,2024-10-02
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,25,25.0,2024-10-02
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,4,4.0,2024-10-02
other_airport_accessmode,10.0,UBER LYFT,3,3.0,2024-10-02
other_airport_accessmode,16.0,OTHER PUBLIC TRANSIT,2,2.0,2024-10-02
other_airport_accessmode,14.0,DROVE WITH OTHERS AND PARKED,2,2.0,2024-10-02
other_airport_accessmode,1.0,WALK,2,2.0,2024-10-02
other_airport_accessmode,2.0,WHEELCHAIR OR OTHER MOBILITY DEVICE,2,2.0,2024-10-02
other_airport_accessmode,20.0,RENTAL CAR AND PARKED IT,1,1.0,2024-10-02
other_airport_accessmode,9.0,TAXI,1,1.0,2024-10-02
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,18,18.0,2024-10-02
reverse_commute_mode,12.0,Picked up by car by family/friend,4,4.0,2024-10-02
reverse_commute_mode,17.0,Airport flyer shuttle,3,3.0,2024-10-02
reverse_commute_mode,15.0,Get in a parked vehicle and ride with other traveler(s),2,2.0,2024-10-02
main_transit_mode,3,None of the above,115,115.0,2024-10-03
main_transit_mode,MTS_1_992,MTS Route 992,2,2.0,2024-10-03
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,2,2.0,2024-10-03
main_mode,10.0,Uber/Lyft,46,46.0,2024-10-03
main_mode,12.0,Dropped off by car by family/friend,37,37.0,2024-10-03
main_mode,19.0,Rental car: Dropped off at rental agency,8,8.0,2024-10-03
main_mode,13.0,Drove alone and parked,7,7.0,2024-10-03
main_mode,14.0,Drove with others and parked,6,6.0,2024-10-03
main_mode,21.0,Hotel shuttle van,5,5.0,2024-10-03
main_mode,27.0,Rental car: Picked up at rental agency,1,1.0,2024-10-03
main_mode,23.0,Picked up by car by family/friend,1,1.0,2024-10-03
main_mode,22.0,Other shared van (please specify),1,1.0,2024-10-03
main_mode,30.0,Other public transit,1,1.0,2024-10-03
main_mode,24.0,Get in a parked vehicle and drive alone,1,1.0,2024-10-03
main_mode,11.0,Car service/black car/limo/executive car,1,1.0,2024-10-03
access_mode,12.0,Dropped off by car by family/friend,2,2.0,2024-10-03
access_mode,1.0,Walk,1,1.0,2024-10-03
access_mode,10.0,Uber/Lyft,1,1.0,2024-10-03
reverse_mode,10.0,Uber/Lyft,19,19.0,2024-10-03
reverse_mode,12.0,Dropped off by car by family/friend,11,11.0,2024-10-03
reverse_mode,21.0,Rental car: Dropped off at rental agency,5,5.0,2024-10-03
reverse_mode,22.0,Rental car: parked rental car,4,4.0,2024-10-03
reverse_mode,23.0,Hotel shuttle van,2,2.0,2024-10-03
reverse_mode,1.0,Walk,1,1.0,2024-10-03
reverse_mode,14.0,Drove with others and parked,1,1.0,2024-10-03
reverse_mode,24.0,Other shared van (please specify),1,1.0,2024-10-03
reverse_mode,17.0,Airport flyer shuttle,1,1.0,2024-10-03
reverse_mode,11.0,Car service/black car/limo/executive car,1,1.0,2024-10-03
reverse_mode_predicted,12.0,Dropped off by car by family/friend,26,26.0,2024-10-03
reverse_mode_predicted,10.0,Uber/Lyft,20,20.0,2024-10-03
reverse_mode_predicted,14.0,Drove with others and parked,4,4.0,2024-10-03
reverse_mode_predicted,13.0,Drove alone and parked,4,4.0,2024-10-03
reverse_mode_predicted,16.0,MTS Route 992,1,1.0,2024-10-03
other_airport_accessmode,12.0,DROPPED OFF BY CAR BY FRIEND FAMILY,9,9.0,2024-10-03
other_airport_accessmode,10.0,UBER LYFT,7,7.0,2024-10-03
other_airport_accessmode,13.0,DROVE ALONE AND PARKED,2,2.0,2024-10-03
other_airport_accessmode,19.0,RENTAL CAR AND DROPPED IT OFF AT RENTAL AGENCY,1,1.0,2024-10-03
other_airport_accessmode,9.0,TAXI,1,1.0,2024-10-03
reverse_commute_mode,12.0,Picked up by car by family/friend,2,2.0,2024-10-03
reverse_commute_mode,1.0,Walk,1,1.0,2024-10-03
reverse_commute_mode,16.0,MTS Route 992,1,1.0,2024-10-03
reverse_commute_mode,13.0,Get in a parked vehicle and drive alone,1,1.0,2024-10-03
reverse_commute_mode,14.0,Get in a parked vehicle and drive with others,1,1.0,2024-10-03
reverse_commute_mode,15.0,Get in a parked vehicle and ride with other traveler(s),1,1.0,2024-10-03
main_transit_mode,3,None of the above,202,202.0,2024-10-04
main_transit_mode,SDA_1_FLYER,Airport flyer shuttle,28,28.0,2024-10-04
main_transit_mode,MTS_1_992,MTS Route 992,14,14.0,2024-10-04
